author,now_price,pre_price,short_title,title
周峰,¥29.50,¥59.00, 从零开始学Python大数据与量化交易, 从零开始学Python大数据与量化交易 一本书揭示量化交易精髓，新手交易获利更容易。免费赠送所有实例代码。量化交易/Python/Pandas大数据分析包/Matplotlib大数据可视化包/量化选股
智利,¥69.50,¥139.00, C语言入门经典（第6版）, C语言入门经典（第6版） C语言入门从Beginning C开始！著名作家lvor Horton和编程专家German Gonzalez -Morris联袂奉献。
明日科技,¥49.00,¥98.00, Python网络爬虫从入门到实践（全彩版）自动化数据采集，入门知识，项目实践, Python网络爬虫从入门到实践（全彩版）自动化数据采集，入门知识，项目实践 Python3爬虫开发图书（彩色版）：详解自动化获取数据、数据解析、数据清洗、反爬以及数据可视化等知识，125个示例+2个综合案例+1个项目
胡杨,¥49.50,¥99.00, 抖音+剪映+Premiere短视频创作实战（全视频微课版）, 抖音+剪映+Premiere短视频创作实战（全视频微课版） 5篇13个专题，从脚本创作、运镜拍摄到视频剪辑，详述短视频创作的完整流程。配备素材、效果文件、“手机端+电脑端”视频、PPT课件、海量资源。
上野宣,¥98.90,¥197.80, 图解HTTP + 图解TCP/IP + 图解网络硬件（套装共3册，当当）, 图解HTTP + 图解TCP/IP + 图解网络硬件（套装共3册，当当） Web开发工程师参考书目，详解网络传输协议、网络硬件等各种知识，实战性强，解决网络建设工程中的实际问题
谢雪葵,¥49.90,¥99.80, Spark性能优化实战, Spark性能优化实战 资深大数据工程师深入全面介绍Spark性能优化核心技术，350多个示例、20多个综合案例
杜勇,¥39.50,¥79.00, Xilinx FPGA数字信号处理设计——基础版, Xilinx FPGA数字信号处理设计——基础版 
黄小平,¥39.50,¥79.00, 卡尔曼滤波原理及应用——MATLAB仿真（第2版）, 卡尔曼滤波原理及应用——MATLAB仿真（第2版） 
Ernest,¥59.90,¥119.90, 游戏机制——高级游戏设计技术, 游戏机制——高级游戏设计技术 
申志伟,¥64.00,¥128.00, 卫星互联网——构建天地一体化网络新时代, 卫星互联网——构建天地一体化网络新时代 “十四五”时期国家重点出版物出版专项规划项目，邬贺铨院士作序力荐，详解卫星互联网政策、发展态势、体系结构、关键技术、产业和前景
王琦,¥49.90,¥99.90, Easy RL 强化学习教程(, Easy RL 强化学习教程( “蘑菇书”强化机器学习深度学习实战书籍，李宏毅周博磊李科浇热门公开课精选总结，继南瓜书后第2本自学笔记，赠送配套python实现代码 面试题习题答案
杜宽,¥69.00,¥138.00, 云原生Kubernetes全栈架构师实战, 云原生Kubernetes全栈架构师实战 超过60万学员热棒，一线K8s工程师潜心之作，众多业界专家力荐
吴光科,¥34.50,¥69.00, Linux自动化运维实战（Linux开发书系）, Linux自动化运维实战（Linux开发书系） Linux运维实战专家吴光科团队历经三年创作，九次全面升级 近百位来自百度、阿里、腾讯、京东专家共同打磨 百万学员一致好评，十余家媒体一致推荐
桑圆圆,¥29.50,¥59.00, 人工智能从入门到进阶实战, 人工智能从入门到进阶实战 适合青少年的人工智能基础与实践教程，TensorFlow入门，中小学AI入门指南
天工在线,¥44.90,¥89.80, 中文版 UG NX 12.0数控加工从入门到精通实战案例+视频讲解 ug12教程教材 数控编程模具设计 cad从入门到精, 中文版 UG NX 12.0数控加工从入门到精通实战案例+视频讲解 ug12教程教材 数控编程模具设计 cad从入门到精 UG NX数控加工 机械加工实战教材 CAD CAE CAM微视频讲解大系列 手机扫码看120集微视频讲解+实例案例分析，UG数控加工案例视频实战教程
小川雄太郎,¥59.00,¥118.00, PyTorch深度学习模型开发实战 chatgpt聊天机器人 动手学机器学习开发案例实战 pytorch强化学习 图像识, PyTorch深度学习模型开发实战 chatgpt聊天机器人 动手学机器学习开发案例实战 pytorch强化学习 图像识 这不是一本入门书，针对的是深度学习中、高级层次的读者，用案例实践提升深度学习模型的构建能力，用详细的操作过程提升读者的动手能力，更好地理解程序的本质，用通俗易懂的文字解说，让读者学习过程更顺畅。
