Phrase,Frequency
Boeing 737-31S,1
Boeing B-737-244,1
Boeing 737-230,1
Antonov AN-26A,1
Boeing B-737-2L9,1
Lockheed C-130B Hercules,1
Boeing B-737-7H4,1
McDonnell DC-9-32,1
Grumman G73T Turbo Mallard,1
Antonov AN-140-100,1
British Aerospace BAe-125-700A,1
UH-60L Black Hawk,1
Dassault Falcon 20,1
Shorts 360-100 /Shorts 360-300,1
Let L410UVP-E20,1
Antonov 74TK-200,1
Antonov AN-32B,1
KJ-2000,1
Antonov AN-12B,1
Airbus A-310-324ET,1
Embraer 110 Bandeirante,1
Lockheed L-100-30 Hercules,1
British Aerospace Nimrod MR-2,1
Dornier 228,1
Boeing B-737-8EH /EMB-135JB,1
BAe 146-200,1
Antonov An-2,1
Boeing 737-2B7,1
Boeing 727-23F,1
Antonov 74T-200,1
Bell 412,1
Boeing B-737-4Q8,1
Antonov 26B-100,1
Sikorsky UH-60L Black Hawk,1
Boeing B-737-497,1
Aerospatiale AS350BA Rotocraft,1
Mc Donnell Douglas 369FF Rotocraft,1
Rockwell 500S Shrike Commander,1
Tuolev 134AK,1
Ilushin Il-76TD,1
Pilatus Britten Norman BN-2A-27 Islander,1
Mi 8,1
Boeing B-737-8AL,1
Cessna 550 Citation II,1
Boeing 737-2M2,1
North American CT-39A Sabreline,1
de Havilland DHC-6 Twim Otter 100,1
Antonov AN-26V,1
de Havilland DHC-2 MK.1 Beaver,1
Boeing 737-809,1
Embraer EMB-110P1 Bandeirant,1
UH-60 Blackhawk helilcopter,1
Let 410,1
Let 410 UVP-E10A,1
Eurocopter Deutschland BK117C1,1
Let 410 UVP-E3,1
Mi-17 Helicopter,1
Boeing 777-236ER,1
CASA C-295M,1
CASA NC-212-200,1
ATR-42-300,1
Eurocopter  AS332L2 Super Puma,1
Swearingen SA227AC Metroliner III,1
McDonnell Douglas DC-9-51,1
Antonov An-32B,1
de Havilland Canada DHC-2 Mark I Beaver,1
Eurocopter AS350D Astar,1
Bell UN-1N Huey,1
Airbus A-310-324,1
Bell UH-1N,1
CASA NC-212,1
Bell 407 / Bell 407,1
Ilysushin Il-76TD,1
Douglas DC9-15F,1
Boeing B-747-209BSF,1
British Aerospace BAe-125-800A,1
Sikorsky S-61N,1
Bell Huey UH-1H,1
Fokker F-27 Friendship 500,1
Boeing B-737-219,1
Boeing B-737-291,1
Boeing B-737-505,1
Learjet 60,1
Aerospatiale SA365N-1 Dauphin II,1
Bell 222,1
Rockwell International 690B,1
Bell 206-L4 Jet Ranger III,1
Britten Norman BN-2A Trislander Mk3,1
Boeing 737-500,1
ATR-42-320,1
Sikorsky S-76C++,1
Bandeirante EMB-110P1,1
Bombardier DHC-8-402 Q400,1
Bell UH-1H,1
  Boeing 737-8F2,1
Ilyushin Il-76T,1
Sikorsky S-92A,1
Pilatus PC-12/45,1
McDonnell Douglas MD-11,1
Eurocopter AS 332L2 Super Puma 2,1
British Aerospace BAe-146-300,1
Mi-35,1
Airbus A330-203,1
Britten-Norman BN-2A-27 Islander,1
Airbus A310-324,1
Ilyushin Il-62M,1
ATR-72-212A,1
Eurocopter AS-350BA / Piper PA-32R-300,1
British Aerospace Jetstream 41,1
Eurocopter AS350-B2,1
Boeing 707-330C,1
Britten-Norman BN-2A-8 Island,1
Tupolev Tu-142M3,1
Ilyushin Il-76,1
Aerospatiale AS350,1
McDonnell Douglas MD-11F,1
de Havilland Canada DHC-2 Beaver MK- 1,1
Boeing 737-8AS,1
Embraer EMB-110C Bandeirante,1
GAF N22B Nomad,1
Helicopter,1
Airbus A300B4-203F,1
Airbus A330-202,1
Antonv An-28,1
Antonv An-24B,1
Beechcraft A100 King Air,1
McDonnell Douglas C-17A Globemaster III,1
Fairchild C-123K,1
  Antonov An-24 V,1
de Havilland Canada DH-3T Otter,1
Boeing B-737-73V,1
Dornier 228-101,1
Embraer ERJ-190-100LR,1
Mi 17V-5,1
Boeing B747-44AF,1
Fletcher FU-24-954,1
ATR 42-320,1
Sikorsky UH-60 Black Hawk,1
Lockheed L-100 Hercules,1
ATR-72-212,1
Ilyushin Il-76TD,1
Tupolev Tu-154B-2,1
Boeing B-727-286,1
Pilatus PC-12/47,1
Swearingen SA-227BC Metro III,1
Let L-410 UVPE-20,1
Canadair CL-600 CRJ-100ER,1
	Mil Mi-172,1
Embraer/Piper EMB-810C Seneca,1
Xian MA-60,1
Saab 340A,1
Tupolev Tu-134,1
Ilyushin76TD,1
Boeing B-727-100,1
Antonov An-24RV,1
Let L-401UVP-20,1
Lockheed C-130 Hercule,1
Boeing B-747-48EF,1
Boeing CH-47 Chinook,1
Boeing B-737-210C(A) Combi,1
Eurocopter AS350B2,1
CASA C-212 Aviocar 300DF,1
Swearingen SA-227BC Metroliner III,1
North American P-51D-15-NA Mustang,1
De Havilland Canada DHC-6-300 Twin Otter,1
CASA NC-212 Aviocar 200,1
de Havilland Canada DHC-8-102,1
Beechcraft 100 King Air,1
Eurocopter EC-130 B4,1
Aerospatiale AS 332L1 Super Puma,1
Aerospatiale AS-350 B2 Ecureuil,1
Sikorsky S-70A-28,1
ATR 72-201,1
Boeing 737-236,1
Sukhoi Superjet 100-95,1
Dornier 228-212,1
Boeing B-727-200,1
Sikorsly S-58ET,1
Antonov An-2R,1
PA-34-200 Seneca I,1
Antonov An-26-100,1
Dornier 228-202,1
Ilysushin Il-76T,1
Douglas C47-TP,1
Antonov AN-72-100D,1
Tupolev TU-204-100V ,1
Antonov AN-24RV,1
Boeing B-737-8GP,1
Boeing B-747-428BCF,1
MI 172 V5 helicopter,1
Boeing B-777-28EER,1
de Havilland Canada DHC-3T,1
Airbus A300F-622R,1
Embraer 120RT Brasilia,1
de Havilland Canada DHC-6 Twin Otter 310,1
ATR-72-50,1
Swearingen SA227-AC Metro III,1
Mil- Mi-17B-5,1
Swearingen SA227-AC Metro II,1
Boeing 737-53A,1
Eurocopter EC135 T2,1
Embraer ERJ-190AR,1
Britten Norman BN-2A-3 Islander,1
Lockheed C-130H-30 Hercules,1
Antonov 26,1
Boeing 777-200,1
Urocopter AS350 B2,1
British Aerospace BAe 125-700A Hawker,1
Aerocomp Comp Air 8,1
Antonov 74TK-300,1
Ilyushin 76MD,1
Mil Mi-171,1
Boeing 777-2H6ER,1
ATR 72-500,1
Mc Donnell Douglas MD-83,1
HESA Iran-140-100,1
Fokker F-27 MK 500,1
Airbus A-320-216,1
ATR 72-600,1
Both Eurocopter AS350B3,1
de Havilland DHC-3T Vazar TurbineOtter,1
Lockheed C130-B Hercules,1
CASA CN-235-100,1
Pacific Aerospace,1
Hawker Siddeley HS-125,1
de Havilland Canada DHC 3T Turbine Otter,1
Lockheed C-130J Hercules,1
de Havilland DHC-6 Twin Otter ,1
de Havilland DCH-4T Caribou,1
Aerospatiale AS 350B2 Ecureuil,1
Mil MI-8T,1
Canadair CRJ-200,1
Airbus A321-111,1
de Havilland DHC-6 Twin Otter 400,1
PAC 750XL,1
Antonov AN-26 ,1
IAI Attava 201 ,1
	Boeing 737-8KN (WL),1
Mitsubishi MU-2B 60 Marquise,1
Britten-Norman Islander,1
	Eurocopter EC225LP Super Puma M2+,1
Antonov 32,1
 Kubicek BB85Z Hot Air Balloon,1
Boeing 777-31H,1
Cessna 208 Grand Caravan,1
Swearingen SA277-AT Expditer,1
Avro RJ-85,1
M28 Skytruck,1
ATR-42-500,1
 	Lockheed C-130H Hercules,1
Boeing 727-2JOF,1
Boeing 747-412F,1
Beechcraft B200 Super King Air,1
Britten-Norman BN2 Islander,1
Shorts 300-200,1
Shaanxi Y-8F-200W,1
Socata TB1-10 Tobago,1
Lockheed KC-130T Hercules,1
Antonov An-12B,1
Embraer EMB-120ER,1
Antonov AN-26-100,1
